frame,area,cx,cy,solidity,hole_pct,closure,spine_px,shape_rate_pct,half_life,head_found,head_x,head_y,weber
113,2444,303.10,175.34,0.629,3.56,0.843,449,0.00,43,1,246.55,144.36,0.222
114,2444,303.10,175.34,0.629,3.56,0.843,449,0.00,42,1,246.55,144.36,0.222
115,2444,303.10,175.34,0.629,3.56,0.843,449,0.00,41,1,246.55,144.36,0.222
116,2444,303.10,175.34,0.629,3.56,0.843,449,0.00,40,1,246.55,144.36,0.222
117,2444,303.10,175.34,0.629,3.56,0.843,449,0.00,39,1,246.55,144.36,0.222
118,2444,303.10,175.34,0.629,3.56,0.843,449,0.00,38,1,246.55,144.36,0.222
119,2444,303.10,175.34,0.629,3.56,0.843,449,0.00,37,1,246.55,144.36,0.222
120,2444,303.10,175.34,0.629,3.56,0.843,449,0.00,36,1,246.55,144.36,0.222
121,2444,303.10,175.34,0.629,3.56,0.843,449,0.00,35,1,246.55,144.36,0.222
122,2444,303.10,175.34,0.629,3.56,0.843,449,0.00,34,1,246.55,144.36,0.222
123,2444,303.10,175.34,0.629,3.56,0.843,449,0.00,33,1,246.55,144.36,0.222
124,2444,303.10,175.34,0.629,3.56,0.843,449,0.00,32,1,246.55,144.36,0.222
125,2444,303.10,175.34,0.629,3.56,0.843,449,0.00,31,1,246.55,144.36,0.222
126,2444,303.10,175.34,0.629,3.56,0.843,449,0.00,30,1,246.55,144.36,0.222
127,2444,303.10,175.34,0.629,3.56,0.843,449,0.00,29,1,246.55,144.36,0.222
128,2444,303.10,175.34,0.629,3.56,0.843,449,0.00,28,1,246.55,144.36,0.222
129,2444,303.10,175.34,0.629,3.56,0.843,449,0.00,27,1,246.55,144.36,0.222
130,2444,303.10,175.34,0.629,3.56,0.843,449,0.00,26,1,246.55,144.36,0.222
131,2444,303.10,175.34,0.629,3.56,0.843,449,0.00,25,1,246.55,144.36,0.222
132,2444,303.10,175.34,0.629,3.56,0.843,449,0.00,24,1,246.55,144.36,0.222
133,2444,303.10,175.34,0.629,3.56,0.843,449,0.00,23,1,246.55,144.36,0.222
134,2444,303.10,175.34,0.629,3.56,0.843,449,0.00,22,1,246.55,144.36,0.222
135,2444,303.10,175.34,0.629,3.56,0.843,449,0.00,21,1,246.55,144.36,0.222
136,2444,303.10,175.34,0.629,3.56,0.843,449,0.00,20,1,246.55,144.36,0.222
137,2444,303.10,175.34,0.629,3.56,0.843,449,0.00,19,1,246.55,144.36,0.222
138,2444,303.10,175.34,0.629,3.56,0.843,449,0.00,18,1,246.55,144.36,0.222
139,2439,303.66,175.52,0.626,3.69,0.831,463,8.81,17,1,246.64,144.45,0.220
140,2473,304.05,175.60,0.623,3.48,0.802,451,5.93,16,1,238.33,139.75,0.224
141,2477,305.55,175.98,0.616,3.88,0.832,462,15.09,15,1,254.82,147.73,0.222
142,2491,306.53,176.10,0.613,4.18,0.823,497,11.10,14,1,238.40,139.20,0.225
